전체,사건번호,물건번호,소재지 및 내역,비고,감정평가액,담당계매각기일(입찰기간),법원,감정평가액_원,용도,매각결과,매각금액,매각금액_원
수원지방법원2024타경3700,2024타경3700,18,"경기도 수원시 권선구 경수대로 406 9층907호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 17.28㎡]",,"166,000,000",경매14계2026.04.10,수원지방법원,166000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,19,"경기도 수원시 권선구 경수대로 406 9층908호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 17.28㎡]",,"166,000,000",경매14계2026.04.10,수원지방법원,166000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,20,"경기도 수원시 권선구 경수대로 406 9층909호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 17.28㎡]",,"166,000,000",경매14계2026.04.10,수원지방법원,166000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,21,"경기도 수원시 권선구 경수대로 406 9층910호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 16.9㎡]",,"162,000,000",경매14계2026.04.10,수원지방법원,162000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,22,"경기도 수원시 권선구 경수대로 406 10층1001호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 13.84㎡]",,"136,000,000",경매14계2026.04.10,수원지방법원,136000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,23,"경기도 수원시 권선구 경수대로 406 10층1002호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 17.28㎡]",,"166,000,000",경매14계2026.04.10,수원지방법원,166000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,24,"경기도 수원시 권선구 경수대로 406 10층1003호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 17.28㎡]",,"166,000,000",경매14계2026.04.10,수원지방법원,166000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,25,"경기도 수원시 권선구 경수대로 406 10층1004호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 17.28㎡]",,"166,000,000",경매14계2026.04.10,수원지방법원,166000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,26,"경기도 수원시 권선구 경수대로 406 10층1005호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 14.06㎡]",,"142,000,000",경매14계2026.04.10,수원지방법원,142000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,27,"경기도 수원시 권선구 경수대로 406 10층1006호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 14.06㎡]",,"142,000,000",경매14계2026.04.10,수원지방법원,142000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,28,"경기도 수원시 권선구 경수대로 406 10층1007호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 17.28㎡]",,"166,000,000",경매14계2026.04.10,수원지방법원,166000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,29,"경기도 수원시 권선구 경수대로 406 10층1008호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 17.28㎡]",,"166,000,000",경매14계2026.04.10,수원지방법원,166000000,아파트,유찰,,
수원지방법원2024타경3700,2024타경3700,30,"경기도 수원시 권선구 경수대로 406 10층1009호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 17.28㎡]",,"166,000,000",경매14계2026.04.10,수원지방법원,166000000,아파트,매각,"120,100,100",120100100
수원지방법원2024타경3700,2024타경3700,31,"경기도 수원시 권선구 경수대로 406 10층1010호 (권선동,파크앤시티타워2)[집합건물 철근콘크리트구조 16.9㎡]",,"162,000,000",경매14계2026.04.10,수원지방법원,162000000,아파트,유찰,,
수원지방법원2024타경7245,2024타경7245,1,"경기도 화성시 수노을1로 235 101동 1층101호 (새솔동,더펠리체휴먼빌)[집합건물 철근콘크리트구조 84.9699㎡]",,"483,000,000",경매14계2026.04.10,수원지방법원,483000000,아파트,유찰,,
수원지방법원2024타경75811,2024타경75811,1,경기도 용인시 처인구 남사읍 한숲로 123 313동 11층1103호 (이편한세상용인한숲시티3단지)[집합건물 철근콘크리트구조 84.233㎡],,"430,000,000",경매14계2026.04.10,수원지방법원,430000000,아파트,유찰,,
수원지방법원2024타경90292,2024타경90292,1,"경기도 화성시 동탄대로 636-14 103동 19층1901호 (영천동,동탄역대방디엠시티더센텀)[집합건물 철근콘크리트구조 56.3610㎡]",,"705,000,000",경매16계2026.04.15,수원지방법원,705000000,아파트,유찰,,
수원지방법원2024타경91059,2024타경91059,1,"경기도 화성시 서동탄로 53 101동 10층1005호 (능동,서동탄역파크자이)[집합건물 철근콘크리트구조 100.5303㎡]",,"630,000,000",경매11계2026.04.14,수원지방법원,630000000,아파트,매각,"550,100,000",550100000
수원지방법원2024타경91882,2024타경91882,1,"경기도 용인시 수지구 성복1로 91 101동 15층1504호 (성복동,버들치마을성복힐스테이트1차)[집합건물 철근콘크리트구조 134.859㎡]",,"978,000,000",경매14계2026.04.10,수원지방법원,978000000,아파트,매각,"913,999,999",913999999
수원지방법원2025타경978,2025타경978,1,"경기도 용인시 수지구 상현동 856 만현마을2단지아이파크 205동 5층504호[집합건물 철근콘크리트벽식조
134.9541㎡]",,"830,000,000",경매17계2026.04.13,수원지방법원,830000000,아파트,유찰,,
수원지방법원2025타경51294,2025타경51294,1,"경기도 수원시 팔달구 팔달문로 84 4층403호 (지동,진우아파트)[집합건물 철근콘크리트조
59.91㎡]",,"235,000,000",경매14계2026.04.10,수원지방법원,235000000,아파트,유찰,,
수원지방법원2025타경51812,2025타경51812,1,"경기도 용인시 수지구 성복2로 251 204동 14층1402호 (성복동,버들치마을 성복자이2차)[집합건물 철근콘크리트구조 179.986㎡]",,"1,280,000,000",경매14계2026.04.10,수원지방법원,1280000000,아파트,매각,"919,900,001",919900001
수원지방법원2025타경53344,2025타경53344,1,"경기도 수원시 영통구 영통로154번길 113 1101동 5층501호 (망포동,영통마젤란21아파트1단지)[집합건물 철근콘크리트구조 84.6091㎡]",,"442,000,000",경매17계2026.04.13,수원지방법원,442000000,아파트,매각,"435,500,000",435500000
수원지방법원2025타경548262025타경52105(중복),2025타경54826,1,"경기도 용인시 기흥구 동백동 574 호수마을월드메르디앙 1606동 3층302호[집합건물 철근콘크리트구조 
84.9716 ㎡]",,"432,000,000",경매17계2026.04.13,수원지방법원,432000000,아파트,유찰,,
수원지방법원2025타경548662025타경1392(중복),2025타경54866,1,"경기도 용인시 기흥구 언남동 496 하마비마을동일하이빌2차아파트 208동 1층103호[집합건물 철근콘크리트벽식조
161.549㎡]",,"656,000,000",경매17계2026.04.13,수원지방법원,656000000,아파트,유찰,,
수원지방법원2025타경55125,2025타경55125,1,경기도 화성시 반송동 103-11 엔터프라임빌딩 8층810호[집합건물 일반철골구조 18.98㎡],공부상 도시형생활주택으로 이용중.,"100,000,000",경매16계2026.04.15,수원지방법원,100000000,근린시설,유찰,,
수원지방법원2025타경55417,2025타경55417,1,경기도 용인시 수지구 신봉동 985 신봉마을동일하이빌3단지 301동 6층603호[집합건물 철근콘크리트구조 134.8250㎡],"신청채권자가 민사집행법 제102조 제2항에 의한 매수신청가격을 597,900,000원으로 하는 2026.3.24.자 매수신청서를 제출하였으므로, 그 외 매수하고자 하는 사람은 위 가격 이상으로 매수신청(입찰)을 하여야 매수가 가능함.","840,000,000",경매16계2026.04.15,수원지방법원,840000000,아파트,매각,"795,900,000",795900000
수원지방법원2025타경55462,2025타경55462,1,경기도 화성시 반송동 93-6 센트럴에스타운 8층836호[집합건물 철골철근콘크리트구조 24.34㎡],배당에서 임차인의 보증금 전액이 변제되지 않으면 잔액을 매수인이 인수함.,"122,000,000",경매16계2026.04.15,수원지방법원,122000000,아파트,매각,"98,000,000",98000000
수원지방법원2025타경55526,2025타경55526,1,경기도 수원시 영통구 하동 1001 광교 더 포레스트 4008동 25층2501호[집합건물 철근콘크리트구조 120.72㎡],,"930,000,000",경매11계2026.04.14,수원지방법원,930000000,아파트,매각,"859,750,000",859750000
수원지방법원2025타경556582026타경89(중복),2025타경55658,1,경기도 용인시 처인구 고림동 1014 양우내안애에듀퍼스트 217동 10층1001호[집합건물 철근콘크리트구조  74.9809㎡],,"479,000,000",경매11계2026.04.14,수원지방법원,479000000,아파트,매각,"458,999,999",458999999
수원지방법원2025타경55677,2025타경55677,1,경기도 오산시 양산동 668-1 세마이편한세상 104동 7층704호[집합건물 철근콘크리트구조 84.981㎡],,"449,000,000",경매16계2026.04.15,수원지방법원,449000000,아파트,매각,"401,099,000",401099000
수원지방법원2025타경55940,2025타경55940,1,경기도 수원시 권선구 호매실동 1361 한양수자인파크원 110동 2층203호[집합건물 철근콘크리트구조 97.6214㎡],,"659,000,000",경매11계2026.04.14,수원지방법원,659000000,아파트,매각,"608,900,000",608900000
수원지방법원2025타경56059,2025타경56059,1,"경기도 화성시 봉담읍 동화리 575 동화마을동일하이빌 101동 6층602호[집합건물 철근콘크리트구조
115.266㎡]",,"507,000,000",경매11계2026.04.14,수원지방법원,507000000,아파트,매각,"421,200,000",421200000
수원지방법원2025타경56264,2025타경56264,1,경기도 화성시 향남읍 하길리 1464 화성향남서봉마을사랑으로부영3단지 301동 22층2202호[집합건물 철근콘크리트구조 84.9933㎡],,"377,000,000",경매11계2026.04.14,수원지방법원,377000000,아파트,유찰,,
수원지방법원2025타경56702,2025타경56702,1,"경기도 수원시 권선구 고색동 368-1 대한아파트 103동 16층1605호[집합건물 철근콘크리트 라멘 벽식구조
120.56㎡]",,"405,000,000",경매11계2026.04.14,수원지방법원,405000000,아파트,유찰,,
수원지방법원2025타경56813,2025타경56813,1,"경기도 용인시 기흥구 보라동 570 민속마을현대모닝사이드 315동 4층403호[집합건물 철근콘크리트조
84.9037㎡]",,"340,000,000",경매11계2026.04.14,수원지방법원,340000000,아파트,매각,"316,010,000",316010000
수원지방법원2025타경56835,2025타경56835,1,"경기도 용인시 수지구 신봉동 911 신봉마을자이2차아파트 210동 18층1802호[집합건물 철근콘크리트구조
134.960㎡]",,"771,000,000",경매11계2026.04.14,수원지방법원,771000000,아파트,매각,"671,100,000",671100000
수원지방법원2025타경57038,2025타경57038,1,경기도 화성시 병점동 822 느치미마을주공아파트 204동 2층203호[집합건물 철근콘크리트조 59.56㎡],,"311,000,000",경매11계2026.04.14,수원지방법원,311000000,아파트,유찰,,
수원지방법원2025타경57176,2025타경57176,1,경기도 용인시 수지구 성복동 758 버들치마을성복자이1차 110동 6층603호[집합건물 철근콘크리트구조 134.859㎡],,"945,000,000",경매11계2026.04.14,수원지방법원,945000000,아파트,유찰,,
수원지방법원2025타경57310,2025타경57310,1,경기도 수원시 장안구 송죽동 517 수원아너스빌위즈 에이동 2층202호[집합건물 철근콘크리트구조 84.915㎡],,"553,000,000",경매11계2026.04.14,수원지방법원,553000000,아파트,매각,"608,999,999",608999999
수원지방법원2025타경57313,2025타경57313,1,경기도 수원시 팔달구 고등동 310 수원역푸르지오자이 129동 5층502호[집합건물 철근콘크리트구조 84.99㎡],,"854,000,000",경매11계2026.04.14,수원지방법원,854000000,아파트,유찰,,
수원지방법원2025타경57382,2025타경57382,1,경기도 화성시 반송동 103-1 동탄스카이뷰빌딩 8층804호[집합건물 철근콘크리트구조19.23㎡],,"48,000,000",경매11계2026.04.14,수원지방법원,48000000,"상가,오피스텔,근린시설",유찰,,
수원지방법원2025타경56059,2025타경56059,1,"경기도 화성시 봉담읍 동화리 575 동화마을동일하이빌 101동 6층602호[집합건물 철근콘크리트구조
115.266㎡]",,"507,000,000",경매11계2026.04.14,수원지방법원,507000000,아파트,매각,"421,200,000",421200000
